family,instance,depth,trails_reached,trails_attempted,n_trials,mean,std,cv,rho_occ_l,rho_occ_neg_l,rho_near_unit,rho_two_hop
uf100-430,uf100-0105.cnf,10,5,5,828,8.972222222222221,14.558656786869514,1.6226366697439707,0.01274398013887384,0.30698921363183684,0.8786681398445705,0.012779531100837785
uf100-430,uf100-0105.cnf,20,5,5,588,13.251700680272108,9.487977535599828,0.7159818776864347,0.004839762824170855,0.2127757342256351,0.4219370974407364,-0.000607167344593598
uf100-430,uf100-0105.cnf,40,1,5,84,14.107142857142858,6.622375101075593,0.46943418438004203,0.03765030543102168,-0.11736350137553145,-0.1843605376268546,0.03543126957302052
uf100-430,uf100-0106.cnf,5,5,5,944,0.8241525423728814,3.1452651418182858,3.8163628455995653,0.01701605875763691,0.22779894029150213,0.9863111093550908,0.01891188181897794
uf100-430,uf100-0106.cnf,10,5,5,834,7.932853717026379,14.387963482267132,1.8137184921721263,0.01521404957182887,0.3061174591736969,0.8877906326099037,0.009653257692361993
uf100-430,uf100-0106.cnf,20,5,5,638,13.633228840125392,9.449209476506988,0.6931013619235984,-0.015223637231026073,0.20773242316534243,0.4151536403436176,-0.01897798894646734
uf100-430,uf100-0107.cnf,5,5,5,936,0.8151709401709402,2.229367568806117,2.734846716123887,0.05279549259604287,0.16913897826853536,0.981154065653544,0.04836428126215242
uf100-430,uf100-0107.cnf,10,5,5,840,7.545238095238095,12.524506654066219,1.659921992649988,-0.050859643324851066,0.24524157700626903,0.8659718808480908,-0.05235427305727513
uf100-430,uf100-0107.cnf,20,5,5,620,14.156451612903226,10.729740965421952,0.7579400021148012,-0.06672643377932018,0.1564264913921528,0.42877522587736616,-0.07371091282097586
uf100-430,uf100-0107.cnf,40,1,5,80,11.8,6.02820375454655,0.510864724961572,-0.2395856277765775,0.13955679104854615,0.16045383471202823,-0.2323870837750838
uf100-430,uf100-0108.cnf,5,5,5,942,0.7314225053078556,2.8124230807935686,3.8451415705479564,-0.07122624556348935,0.20204926681631585,0.9873411990076765,-0.08116733237865197
uf100-430,uf100-0108.cnf,10,5,5,842,7.621140142517815,12.119016596429043,1.5901841942018473,-0.045589077224211655,0.3025476493974434,0.8726318543762696,-0.05006841119165557
uf100-430,uf100-0108.cnf,20,5,5,634,14.736593059936908,11.712661155536216,0.794801153014017,0.0532254364536164,0.1932068771584819,0.4842817468505136,0.05832067053898307
uf100-430,uf100-0109.cnf,5,5,5,944,0.5052966101694916,1.7292853748549668,3.422317387553645,0.04120729969254511,0.19657176710612362,0.9921824236204018,0.03695484683623265
uf100-430,uf100-0109.cnf,10,5,5,850,4.956470588235294,9.680003152210926,1.9530032469450005,-0.00026917081380924444,0.3080325632089547,0.9179782859737948,-0.0005535433831137859
uf100-430,uf100-0109.cnf,20,5,5,684,13.042397660818713,12.095385327445324,0.9273897056353102,0.0039558634983235495,0.28204414671708367,0.6134390205705658,0.006482020326607201
