family,instance,n_vars,ppd_orig,mode,rep,sat,decisions,propagations,conflicts,ppd
flat30-60,flat30-10.cnf,90,2.6667,phases,3,True,18,121,2,6.722222222222222
flat30-60,flat30-10.cnf,90,2.6667,phases,4,True,23,209,7,9.08695652173913
flat30-60,flat30-10.cnf,90,2.6667,phases,5,True,15,111,1,7.4
flat30-60,flat30-10.cnf,90,2.6667,phases,6,True,17,141,2,8.294117647058824
flat30-60,flat30-10.cnf,90,2.6667,phases,7,True,16,144,2,9.0
flat30-60,flat30-10.cnf,90,2.6667,phases,8,True,14,137,3,9.785714285714286
flat30-60,flat30-10.cnf,90,2.6667,phases,9,True,18,140,3,7.777777777777778
flat30-60,flat30-10.cnf,90,2.6667,phases,10,True,18,124,2,6.888888888888889
flat30-60,flat30-10.cnf,90,2.6667,phases,11,True,13,111,1,8.538461538461538
flat30-60,flat30-10.cnf,90,2.6667,all,0,True,17,153,1,9.0
flat30-60,flat30-10.cnf,90,2.6667,all,1,True,16,160,3,10.0
flat30-60,flat30-10.cnf,90,2.6667,all,2,True,21,142,2,6.761904761904762
flat30-60,flat30-10.cnf,90,2.6667,all,3,True,21,155,3,7.380952380952381
flat30-60,flat30-10.cnf,90,2.6667,all,4,True,15,91,0,6.066666666666666
flat30-60,flat30-10.cnf,90,2.6667,all,5,True,21,288,6,13.714285714285714
flat30-60,flat30-10.cnf,90,2.6667,all,6,True,15,111,1,7.4
flat30-60,flat30-10.cnf,90,2.6667,all,7,True,23,160,3,6.956521739130435
flat30-60,flat30-10.cnf,90,2.6667,all,8,True,21,140,3,6.666666666666667
flat30-60,flat30-10.cnf,90,2.6667,all,9,True,12,113,1,9.416666666666666
flat30-60,flat30-10.cnf,90,2.6667,all,10,True,20,275,8,13.75
flat30-60,flat30-10.cnf,90,2.6667,all,11,True,28,399,9,14.25
flat30-60,flat30-100.cnf,90,4.3,identical,0,True,25,91,0,3.64
flat30-60,flat30-100.cnf,90,4.3,identical,1,True,25,91,0,3.64
