size,rtt_us
128,1157.6660035643727
128,1138.791994890198
128,1118.9159995410591
128,1146.5419956948608
128,1157.6249962672591
128,1148.2499830890447
128,1144.0420057624578
128,1112.7500038128346
128,1132.7079846523702
128,2875.9169799741358
128,1374.9589852523059
128,1297.3340053576976
128,1300.6670051254332
128,1285.708014620468
128,1323.4159850981086
128,1256.5419892780483
128,1312.2080126777291
128,1290.0420115329325
128,1262.4999799299985
128,1218.416990013793
128,1194.9579929932952
128,1313.7499918229878
128,1346.8329852912575
128,1260.9169934876263
128,1260.4999938048422
128,1223.8750059623271
128,1257.0830003824085
128,1217.999990331009
128,1143.4589978307486
128,1210.2499895263463
128,1206.7909992765635
128,1185.6250057462603
128,1195.5829977523535
128,1201.6670079901814
128,1213.7500161770731
128,1255.9579918161035
128,1271.3339820038527
128,1254.500006325543
128,1308.2920049782842
128,1245.209015905857
128,1196.208002511412
128,1219.875004608184
128,1257.166004506871
128,1196.249999338761
128,1183.541986392811
128,1165.5419948510826
128,1186.875015264377
128,1187.625020975247
128,1240.3329892549664
128,1279.166986932978
128,1218.70799921453
128,1189.1249741893262
128,1195.2090135309845
128,1235.7500090729445
128,1205.0829827785492
128,1200.7910117972642
128,1205.4159888066351
128,1197.0839987043291
128,1186.1249804496765
128,1152.459008153528
128,1212.7499794587493
128,1186.209003208205
128,1189.6670039277524
128,1231.5420026425272
128,1324.7499882709235
128,1385.6659934390336
128,1490.7080039847642
128,1587.0839997660369
128,1301.249983953312
128,1234.8339951131493
128,1209.2090037185699
128,1188.9999732375145
128,1169.5419962052256
128,1145.62499220483
128,1133.375015342608
128,1129.9169855192304
256,1623.457996174693
256,1635.624998016283
256,1619.4169875234365
256,1634.916989132762
256,1616.583002032712
256,1602.5000077206641
256,1599.6249858289957
256,1623.666990781203
256,1734.7919929306954
256,1572.9159931652248
256,1596.957998117432
256,1616.9169975910336
256,1585.2499927859753
256,1613.917003851384
256,1676.582993241027
256,1712.1249984484166
256,1609.541999641806
256,1568.0840006098151
256,1487.3330073896796
256,1558.7499947287142
256,1639.7080034948885
256,1575.7080109324306
256,1522.2920046653599
256,1550.66599836573
256,1573.3329928480089
256,1552.2079775109887
