solver,instance,family,result,propagations,decisions,props_per_decision,status
cadical,uf50-0951.cnf,uf50-218,SAT,,,,parse_error
cadical,uf50-0201.cnf,uf50-218,SAT,,,,parse_error
cadical,uf50-0538.cnf,uf50-218,SAT,,,,parse_error
cadical,uf50-0132.cnf,uf50-218,SAT,,,,parse_error
cadical,uf50-0741.cnf,uf50-218,SAT,,,,parse_error
cadical,uf50-086.cnf,uf50-218,SAT,,,,parse_error
cadical,uf50-0769.cnf,uf50-218,SAT,,,,parse_error
cadical,uf50-050.cnf,uf50-218,SAT,,,,parse_error
cadical,uf50-0141.cnf,uf50-218,SAT,,,,parse_error
cadical,uf50-0943.cnf,uf50-218,SAT,,,,parse_error
cadical,uf50-0377.cnf,uf50-218,SAT,,,,parse_error
cadical,uf50-0893.cnf,uf50-218,SAT,,,,parse_error
cadical,uf50-0610.cnf,uf50-218,SAT,,,,parse_error
cadical,uf50-056.cnf,uf50-218,SAT,,,,parse_error
cadical,uf50-0742.cnf,uf50-218,SAT,,,,parse_error
cadical,uf50-0628.cnf,uf50-218,SAT,,,,parse_error
cadical,uf50-0800.cnf,uf50-218,SAT,,,,parse_error
cadical,uf50-0467.cnf,uf50-218,SAT,,,,parse_error
cadical,uf50-0181.cnf,uf50-218,SAT,,,,parse_error
cadical,uf50-0711.cnf,uf50-218,SAT,,,,parse_error
cadical,uf50-015.cnf,uf50-218,SAT,,,,parse_error
cadical,uf50-0209.cnf,uf50-218,SAT,,,,parse_error
cadical,uf50-0831.cnf,uf50-218,SAT,,,,parse_error
cadical,uf50-0934.cnf,uf50-218,SAT,,,,parse_error
cadical,uf50-0464.cnf,uf50-218,SAT,,,,parse_error
cadical,uf50-0345.cnf,uf50-218,SAT,,,,parse_error
cadical,uf50-0684.cnf,uf50-218,SAT,,,,parse_error
cadical,uf50-0644.cnf,uf50-218,SAT,,,,parse_error
cadical,uf50-0549.cnf,uf50-218,SAT,,,,parse_error
cadical,uf50-0969.cnf,uf50-218,SAT,,,,parse_error
cadical,uf50-0707.cnf,uf50-218,SAT,,,,parse_error
cadical,uf50-0701.cnf,uf50-218,SAT,185,19,9.7368,ok
cadical,uf50-0426.cnf,uf50-218,SAT,,,,parse_error
cadical,uf50-0658.cnf,uf50-218,SAT,,,,parse_error
cadical,uf50-0341.cnf,uf50-218,SAT,,,,parse_error
cadical,uf50-0587.cnf,uf50-218,SAT,,,,parse_error
cadical,uf50-0834.cnf,uf50-218,SAT,,,,parse_error
cadical,uf50-0483.cnf,uf50-218,SAT,,,,parse_error
cadical,uf50-0862.cnf,uf50-218,SAT,,,,parse_error
cadical,uf50-0601.cnf,uf50-218,SAT,,,,parse_error
cadical,uf50-05.cnf,uf50-218,SAT,,,,parse_error
cadical,uf50-0727.cnf,uf50-218,SAT,,,,parse_error
cadical,uf50-0698.cnf,uf50-218,SAT,,,,parse_error
cadical,uf50-0143.cnf,uf50-218,SAT,,,,parse_error
cadical,uf50-058.cnf,uf50-218,SAT,,,,parse_error
cadical,uf50-054.cnf,uf50-218,SAT,,,,parse_error
cadical,uf50-0789.cnf,uf50-218,SAT,,,,parse_error
cadical,uf50-0960.cnf,uf50-218,SAT,,,,parse_error
cadical,uf50-0499.cnf,uf50-218,SAT,,,,parse_error
cadical,uf50-0813.cnf,uf50-218,SAT,,,,parse_error
cadical,uf50-0646.cnf,uf50-218,SAT,,,,parse_error
cadical,uf50-057.cnf,uf50-218,SAT,,,,parse_error
cadical,uf50-0722.cnf,uf50-218,SAT,382,36,10.6111,ok
cadical,uf50-045.cnf,uf50-218,SAT,,,,parse_error
cadical,uf50-0585.cnf,uf50-218,SAT,,,,parse_error
cadical,uf50-0441.cnf,uf50-218,SAT,,,,parse_error
cadical,uf50-0398.cnf,uf50-218,SAT,,,,parse_error
cadical,uf50-0195.cnf,uf50-218,SAT,,,,parse_error
