hash,family,instance,solver,result,completed,variables,clauses,decisions,propagations,props_per_decision,cpu_time,status
32c362d1c770a4eb66a5c78346c5e917,quasigroup-completion,32c362d1c770a4eb66a5c78346c5e917-gensys-brn100.shuffled-as.sat05-2844.cnf,cadical,SAT,True,,,794,4210,5.3023,0.02,ok
32c362d1c770a4eb66a5c78346c5e917,quasigroup-completion,32c362d1c770a4eb66a5c78346c5e917-gensys-brn100.shuffled-as.sat05-2844.cnf,kissat,SAT,True,,,1969,39546,20.0843,0.03,ok
caf945ecc09eb7e3392b251b753712f8,quasigroup-completion,caf945ecc09eb7e3392b251b753712f8-gensys-brn004.shuffled-as.sat05-3669.cnf,minisat,SAT,True,2435,15698,207107,5841446,28.2050,1.19784,ok
caf945ecc09eb7e3392b251b753712f8,quasigroup-completion,caf945ecc09eb7e3392b251b753712f8-gensys-brn004.shuffled-as.sat05-3669.cnf,cadical,SAT,True,,,228796,4980867,21.7699,1.16,ok
caf945ecc09eb7e3392b251b753712f8,quasigroup-completion,caf945ecc09eb7e3392b251b753712f8-gensys-brn004.shuffled-as.sat05-3669.cnf,kissat,SAT,True,,,202435,2472868,12.2156,0.54,ok
1911bb724b626d44649cdd27bf727098,quasigroup-completion,1911bb724b626d44649cdd27bf727098-iso-brn006.shuffled-as.sat05-3506.cnf,minisat,SAT,True,2672,16365,1204,20449,16.9842,0.031156,ok
1911bb724b626d44649cdd27bf727098,quasigroup-completion,1911bb724b626d44649cdd27bf727098-iso-brn006.shuffled-as.sat05-3506.cnf,cadical,SAT,True,,,11498,29068,2.5281,0.03,ok
1911bb724b626d44649cdd27bf727098,quasigroup-completion,1911bb724b626d44649cdd27bf727098-iso-brn006.shuffled-as.sat05-3506.cnf,kissat,SAT,True,,,11246,48039,4.2717,0.03,ok
5481abf46acb8b750ba0fc041d84f95d,quasigroup-completion,5481abf46acb8b750ba0fc041d84f95d-iso-ukn008.shuffled-as.sat05-3389.cnf,minisat,UNSAT,True,2686,10010,2369,41077,17.3394,0.028132,ok
5481abf46acb8b750ba0fc041d84f95d,quasigroup-completion,5481abf46acb8b750ba0fc041d84f95d-iso-ukn008.shuffled-as.sat05-3389.cnf,cadical,UNSAT,True,,,10660,119250,11.1867,0.04,ok
5481abf46acb8b750ba0fc041d84f95d,quasigroup-completion,5481abf46acb8b750ba0fc041d84f95d-iso-ukn008.shuffled-as.sat05-3389.cnf,kissat,UNSAT,True,,,9158,169850,18.5466,0.04,ok
3efe71750bfdf2724c21e0d818dd90db,quasigroup-completion,3efe71750bfdf2724c21e0d818dd90db-gensys-ukn001.shuffled-as.sat05-3500.cnf,minisat,SAT,True,1524,59870,2489,3435,1.3801,0.155144,ok
3efe71750bfdf2724c21e0d818dd90db,quasigroup-completion,3efe71750bfdf2724c21e0d818dd90db-gensys-ukn001.shuffled-as.sat05-3500.cnf,cadical,SAT,True,,,2022,4732,2.3403,0.21,ok
3efe71750bfdf2724c21e0d818dd90db,quasigroup-completion,3efe71750bfdf2724c21e0d818dd90db-gensys-ukn001.shuffled-as.sat05-3500.cnf,kissat,SAT,True,,,2386,14075,5.8990,0.23,ok
29fb7d9de75c58f6f0da7b4df997f0af,quasigroup-completion,29fb7d9de75c58f6f0da7b4df997f0af-iso-brn005.shuffled-as.sat05-3505.cnf,minisat,SAT,True,2473,15443,2132,16653,7.8110,0.03374,ok
29fb7d9de75c58f6f0da7b4df997f0af,quasigroup-completion,29fb7d9de75c58f6f0da7b4df997f0af-iso-brn005.shuffled-as.sat05-3505.cnf,cadical,SAT,True,,,9278,23005,2.4795,0.03,ok
29fb7d9de75c58f6f0da7b4df997f0af,quasigroup-completion,29fb7d9de75c58f6f0da7b4df997f0af-iso-brn005.shuffled-as.sat05-3505.cnf,kissat,SAT,True,,,17706,74797,4.2244,0.03,ok
c14229d9604377e6fdf282f554056e44,quasigroup-completion,c14229d9604377e6fdf282f554056e44-gensys-ukn002.shuffled-as.sat05-3345.cnf,minisat,SAT,True,994,16449,3894,52675,13.5272,0.029992,ok
c14229d9604377e6fdf282f554056e44,quasigroup-completion,c14229d9604377e6fdf282f554056e44-gensys-ukn002.shuffled-as.sat05-3345.cnf,cadical,SAT,True,,,13160,359505,27.3180,0.07,ok
c14229d9604377e6fdf282f554056e44,quasigroup-completion,c14229d9604377e6fdf282f554056e44-gensys-ukn002.shuffled-as.sat05-3345.cnf,kissat,SAT,True,,,34706,1362759,39.2658,0.19,ok
4db602d4e22062c3dcc01bc740300752,quasigroup-completion,4db602d4e22062c3dcc01bc740300752-iso-ukn004.shuffled-as.sat05-3385.cnf,minisat,SAT,True,1253,10295,655,14643,22.3557,0.014131,ok
4db602d4e22062c3dcc01bc740300752,quasigroup-completion,4db602d4e22062c3dcc01bc740300752-iso-ukn004.shuffled-as.sat05-3385.cnf,cadical,SAT,True,,,1897,8317,4.3843,0.02,ok
4db602d4e22062c3dcc01bc740300752,quasigroup-completion,4db602d4e22062c3dcc01bc740300752-iso-ukn004.shuffled-as.sat05-3385.cnf,kissat,SAT,True,,,9015,54687,6.0662,0.03,ok
c5ce12e7059cfce8b754151289b7b7a7,quasigroup-completion,c5ce12e7059cfce8b754151289b7b7a7-iso-ukn002.shuffled-as.sat05-3625.cnf,minisat,SAT,True,2280,16374,165,1014,6.1455,0.044723,ok
c5ce12e7059cfce8b754151289b7b7a7,quasigroup-completion,c5ce12e7059cfce8b754151289b7b7a7-iso-ukn002.shuffled-as.sat05-3625.cnf,cadical,SAT,True,,,2076,4443,2.1402,0.03,ok
c5ce12e7059cfce8b754151289b7b7a7,quasigroup-completion,c5ce12e7059cfce8b754151289b7b7a7-iso-ukn002.shuffled-as.sat05-3625.cnf,kissat,SAT,True,,,5326,18111,3.4005,0.03,ok
a14004e92effe93ea79dbf1b269bf3bb,quasigroup-completion,a14004e92effe93ea79dbf1b269bf3bb-iso-brn004.shuffled-as.sat05-2698.cnf,minisat,SAT,True,1877,6408,6903,54711,7.9257,0.027384,ok
a14004e92effe93ea79dbf1b269bf3bb,quasigroup-completion,a14004e92effe93ea79dbf1b269bf3bb-iso-brn004.shuffled-as.sat05-2698.cnf,cadical,SAT,True,,,15879,96871,6.1006,0.04,ok
a14004e92effe93ea79dbf1b269bf3bb,quasigroup-completion,a14004e92effe93ea79dbf1b269bf3bb-iso-brn004.shuffled-as.sat05-2698.cnf,kissat,SAT,True,,,61632,533373,8.6542,0.13,ok
b5a08d7466b116c1117e6837c380f88a,quasigroup-completion,b5a08d7466b116c1117e6837c380f88a-iso-ukn009.shuffled-as.sat05-3632.cnf,minisat,SAT,True,3182,12672,293,3447,11.7645,0.017754,ok
b5a08d7466b116c1117e6837c380f88a,quasigroup-completion,b5a08d7466b116c1117e6837c380f88a-iso-ukn009.shuffled-as.sat05-3632.cnf,cadical,SAT,True,,,5249,9202,1.7531,0.02,ok
b5a08d7466b116c1117e6837c380f88a,quasigroup-completion,b5a08d7466b116c1117e6837c380f88a-iso-ukn009.shuffled-as.sat05-3632.cnf,kissat,SAT,True,,,2272,11749,5.1712,0.03,ok
27ebd53e3afdad974c51aed6f7ccf513,quasigroup-completion,27ebd53e3afdad974c51aed6f7ccf513-iso-ukn006.shuffled-as.sat05-3629.cnf,minisat,SAT,True,1861,7827,24,824,34.3333,0.008823,ok
27ebd53e3afdad974c51aed6f7ccf513,quasigroup-completion,27ebd53e3afdad974c51aed6f7ccf513-iso-ukn006.shuffled-as.sat05-3629.cnf,cadical,SAT,True,,,,,,0.00,no_decisions
27ebd53e3afdad974c51aed6f7ccf513,quasigroup-completion,27ebd53e3afdad974c51aed6f7ccf513-iso-ukn006.shuffled-as.sat05-3629.cnf,kissat,SAT,True,,,0,1549,,0.00,no_decisions
f98872116237d4b25a73bb2c4c64e331,quasigroup-completion,f98872116237d4b25a73bb2c4c64e331-QG-gensys-brn008.sat05-2685.reshuffled-07.cnf,minisat,UNSAT,True,1467,7309,3997830,74956696,18.7493,24.7824,ok
f98872116237d4b25a73bb2c4c64e331,quasigroup-completion,f98872116237d4b25a73bb2c4c64e331-QG-gensys-brn008.sat05-2685.reshuffled-07.cnf,cadical,UNSAT,True,,,370849,7647953,20.6228,3.23,ok
f98872116237d4b25a73bb2c4c64e331,quasigroup-completion,f98872116237d4b25a73bb2c4c64e331-QG-gensys-brn008.sat05-2685.reshuffled-07.cnf,kissat,UNSAT,True,,,488277,8153914,16.6994,3.00,ok
779d4b59a9aab723af1db5b72e58ac7d,quasigroup-completion,779d4b59a9aab723af1db5b72e58ac7d-gensys-icl001.shuffled-as.sat05-2695.cnf,minisat,UNSAT,True,1587,7777,3396468,58414851,17.1987,19.8516,ok
779d4b59a9aab723af1db5b72e58ac7d,quasigroup-completion,779d4b59a9aab723af1db5b72e58ac7d-gensys-icl001.shuffled-as.sat05-2695.cnf,cadical,UNSAT,True,,,382263,7118879,18.6230,3.29,ok
779d4b59a9aab723af1db5b72e58ac7d,quasigroup-completion,779d4b59a9aab723af1db5b72e58ac7d-gensys-icl001.shuffled-as.sat05-2695.cnf,kissat,UNSAT,True,,,492018,8465529,17.2057,3.19,ok
5d1c99873e9630383ab85019beecfe89,quasigroup-completion,5d1c99873e9630383ab85019beecfe89-gensys-brn002.shuffled-as.sat05-3935.cnf,minisat,SAT,True,2401,15709,65547,751524,11.4654,0.163408,ok
5d1c99873e9630383ab85019beecfe89,quasigroup-completion,5d1c99873e9630383ab85019beecfe89-gensys-brn002.shuffled-as.sat05-3935.cnf,cadical,SAT,True,,,92468,1281898,13.8632,0.34,ok
5d1c99873e9630383ab85019beecfe89,quasigroup-completion,5d1c99873e9630383ab85019beecfe89-gensys-brn002.shuffled-as.sat05-3935.cnf,kissat,SAT,True,,,200143,2403656,12.0097,0.52,ok
71dbf7ab78ef93c3d491c67752f03fd1,miter,71dbf7ab78ef93c3d491c67752f03fd1-hwmcc10-timeframe-expansion-k45-nusmvguidancep9-tseitin.cnf,minisat,UNSAT,True,64138,181071,93176,4961946,53.2535,0.521764,ok
71dbf7ab78ef93c3d491c67752f03fd1,miter,71dbf7ab78ef93c3d491c67752f03fd1-hwmcc10-timeframe-expansion-k45-nusmvguidancep9-tseitin.cnf,cadical,UNSAT,True,,,503630,8742190,17.3584,1.57,ok
71dbf7ab78ef93c3d491c67752f03fd1,miter,71dbf7ab78ef93c3d491c67752f03fd1-hwmcc10-timeframe-expansion-k45-nusmvguidancep9-tseitin.cnf,kissat,UNSAT,True,,,183086,36401012,198.8192,1.91,ok
8647c26ddc3d8d67dd6691583b83f310,miter,8647c26ddc3d8d67dd6691583b83f310-LS6_diag.cnf.gz.CP3-cnfmiter.cnf,minisat,UNSAT,True,3008,11794,428767,872436,2.0348,0.124239,ok
