instance,family,status,result,completed,variables,clauses,decisions,propagations,conflicts,restarts,props_per_decision,cpu_time,download_bytes,wall_total,error
dd6ef995af0267ce71076250a1226801-intervals313.cnf,sc2023-main,ok,INDET,False,2354,49818,1385151,47694828,468965,1023,34.4329,9.9626,94392,11.34,
ddd3b43476c18cf483aac233d4dc1c68-PRP_20_40.cnf,sc2023-main,ok,INDET,False,123918,738682,5697821,139509896,420917,1020,24.4848,9.97838,2170912,12.25,
deef4e5f8bf88393cea9589dff97d70c-ContextModel_output_8_4_8.bul_.dimacs.cnf,sc2023-main,ok,INDET,False,36736,243458,645953,66428012,175594,482,102.8372,9.97669,297388,11.70,
df237594dc22b8f7cad2c4b38a23e40c-17_0.cnf,sc2023-main,ok,INDET,False,2848,9312,272797,86418033,243287,566,316.7851,9.98537,16560,11.19,
e444548857eaf649c4624e3494c89c8e-asconhashv12_opt64_H8_M2-bL4cM6NJ_m4_5_U14.c.cnf,sc2023-main,ok,INDET,False,158617,372550,881178,54401940,184637,508,61.7377,9.97814,615992,11.87,
e46bdd62b3789b64f7fbb3bd6c99484e-intervals727.cnf,sc2023-main,ok,INDET,False,2518,55499,2870698,38736542,421618,1020,13.4938,9.95343,93576,11.35,
e51a98d78f61103e0672579e87cfd7e5-satcoin-genesis-UNSAT-11400.cnf,sc2023-main,ok,INDET,False,134781,648661,33237,108155879,9074,38,3254.0807,9.99164,1509180,12.11,
e5a72ac8f4880702a4deacc7854318e8-hash_table_find_safety_size_19.cnf,sc2023-main,no_decisions,INDET,False,10735052,43043255,0,1016895,0,1,,10.6145,78001888,22.82,
e6d247292b525447a220323901842e4c-or_randxor_k3_n540_m540.cnf,sc2023-main,ok,INDET,False,1080,7287,5192819,42496039,1797964,3497,8.1836,9.98944,19064,11.22,
e966bddd11e46b735f8520f8304e368e-SC23_Timetable_C_483_E_50_Cl_33_D_6_T_50.cnf,sc2023-main,ok,INDET,False,249224,801522,10839877,91562943,167600,452,8.4469,9.95422,1326700,12.20,
ea5b47b3ffb3b8cb77a2cff83cc1ffba-PRP_100_500.cnf,sc2023-main,parse_error,rc1,False,,,,,,,,,139360544,26.30,
eaf2f0803dd2045f1b189ee834ef0c8f-rphp_p8_r250.cnf,sc2023-main,ok,INDET,False,4000,227133,38832468,45154256,61335,190,1.1628,9.97413,166148,11.62,
eca3692344e30ae83a49158b5baf3372-brent_65_0.1.cnf,sc2023-main,ok,INDET,False,77577,276874,1835010,117553011,391764,954,64.0612,9.95558,802584,11.90,
